player_id,first_name,last_name,date_of_birth,host_id,big_winner_flag
P0001,Chiara,King,1989-11-21,H09,False
P0002,Shirley,Gonzalez,1958-10-23,H03,False
P0003,Nancy,Martin,1961-07-21,H08,False
P0004,Barbara,Campbell,1962-12-07,H11,False
P0005,Paul,Reyes,1968-08-25,H19,False
P0006,Jason,Sato,1959-10-13,H17,False
P0007,Ronald,Wright,1959-11-23,H11,False
P0008,Charles,Cooper,1972-10-19,H13,True
P0009,Hiroshi,White,1969-06-19,H09,False
P0010,Michelle,Rossi,1952-05-24,H01,False
P0011,Kevin,White,1981-05-31,H03,False
P0012,Mateo,Rivera,1974-11-26,H04,False
P0013,Daniel,Jones,1963-04-18,H19,False
P0014,Omar,Howard,1995-12-12,H19,False
P0015,Emily,Ward,1981-04-09,H05,False
P0016,Jacob,Sato,1990-11-10,H08,False
P0017,Elena,Cox,1996-12-18,H20,False
P0018,Chiara,Okafor,1974-12-24,H08,False
P0019,Kathleen,Lewis,1948-01-16,H14,False
P0020,Mei,Andersson,1963-07-19,H01,False
P0021,Barbara,Lewis,1977-06-24,H15,False
P0022,Steven,Cooper,1952-04-08,H13,False
P0023,Joseph,Mitchell,1992-11-06,H13,False
P0024,Arjun,Sanders,1994-07-19,H06,False
P0025,Kevin,Gonzalez,1957-07-09,H08,False
P0026,Kimberly,Kim,1989-08-23,H04,False
P0027,Anthony,Green,1992-04-15,H10,False
P0028,Christopher,Wilson,1954-06-17,H10,False
P0029,Karen,Andersson,1987-05-04,H20,False
P0030,Patricia,Clark,1978-09-21,H07,False
P0031,Kimberly,Moore,1995-08-09,H13,False
P0032,Richard,Rivera,1979-06-17,H12,False
P0033,Anna,Cooper,1972-07-08,H18,False
P0034,Mark,Johnson,1953-10-04,H20,False
P0035,Kathleen,Kim,1982-05-30,H02,False
P0036,James,Barnes,1961-08-14,H05,False
P0037,Mateo,Martinez,1974-05-09,H18,False
P0038,Amy,Young,1994-10-01,H02,False
P0039,Kimberly,Brown,1963-06-28,H05,False
P0040,Susan,Johnson,1959-10-20,H15,False
P0041,Ashley,Peterson,1954-11-18,H13,False
P0042,Emily,Sanders,1981-09-09,H08,False
P0043,Omar,Price,1967-10-29,H15,True
P0044,Jonathan,Haddad,1956-04-17,H13,False
P0045,Dorothy,Reyes,1964-10-01,H18,False
P0046,Nicole,Watson,1992-06-19,H13,False
P0047,Sofia,Clark,1990-01-21,H14,False
P0048,Noor,Brooks,1996-04-19,H20,False
P0049,Rebecca,Sanchez,1951-04-22,H03,False
P0050,Ruth,Bailey,1973-07-03,H03,False
P0051,Pamela,Roberts,1995-03-28,H20,False
P0052,Nancy,Rossi,1976-01-20,H15,False
P0053,Amy,Allen,1963-12-23,H13,False
P0054,Amy,Williams,1974-11-10,H18,False
P0055,Mary,Davis,1981-06-11,H01,False
P0056,Jeffrey,Smith,1992-10-28,H13,False
P0057,Stephen,Jones,1951-09-16,H01,False
P0058,Eric,Gonzalez,1966-04-24,H19,False
P0059,Nicole,Richardson,1994-01-20,H11,False
P0060,Nicole,Ramirez,1978-04-20,H20,False
P0061,Donald,Brown,1996-06-10,H14,False
P0062,Kimberly,Nguyen,1983-02-12,H10,False
P0063,Cynthia,Smith,1977-10-25,H09,False
P0064,Dorothy,Ramirez,1987-03-30,H02,False
P0065,David,Novak,1950-01-11,H14,False
P0066,Mary,Scott,1974-06-24,H09,False
P0067,Joseph,Cooper,1951-10-11,H10,False
P0068,Mei,Wood,1980-12-19,H14,False
P0069,Charles,Reyes,1953-08-22,H09,False
P0070,Hiroshi,Martinez,1970-01-21,H15,False
P0071,Wei,Roberts,1967-01-26,H01,False
P0072,Rebecca,Cohen,1970-01-10,H04,False
P0073,Jennifer,Bennett,1955-08-16,H04,False
P0074,Steven,Nelson,1984-07-30,H03,True
P0075,Michael,Flores,1950-01-24,H18,False
P0076,Elizabeth,Flores,1957-01-16,H06,False
P0077,Kenneth,Baker,1986-02-06,H17,False
P0078,Charles,Baker,1965-12-08,H11,False
P0079,Ashley,Rodriguez,1978-03-18,H15,True
P0080,Ronald,Murphy,1958-07-30,H13,False
P0081,Melissa,Robinson,1983-04-02,H15,False
P0082,Ingrid,Ramirez,1972-04-19,H13,False
P0083,Christopher,Roberts,1992-12-19,H01,False
P0084,Steven,Sato,1992-01-14,H10,False
P0085,Lisa,Carter,1968-05-21,H15,False
P0086,Chiara,Cohen,1986-05-09,H06,False
P0087,Elena,Rossi,1967-11-22,H06,False
P0088,Daniel,Hernandez,1955-09-02,H06,True
P0089,Elizabeth,Novak,1950-08-14,H14,False
P0090,Elena,Smith,1979-07-24,H14,False
P0091,Ingrid,Price,1985-06-07,H20,False
P0092,Omar,Martinez,1993-12-12,H01,False
P0093,Amanda,Cox,1990-06-03,H12,False
P0094,Melissa,Garcia,1995-03-03,H16,True
P0095,Diego,Okafor,1953-02-06,H14,False
P0096,Sarah,Ward,1973-10-04,H12,False
P0097,Jonathan,Wood,1950-08-11,H14,False
P0098,Betty,Haddad,1970-06-24,H13,False
P0099,Ingrid,Carter,1954-04-23,H06,False
P0100,Charles,Johnson,1953-02-17,H15,False
P0101,Donald,Okafor,1950-04-10,H20,False
P0102,Anna,Johnson,1960-06-04,H04,False
P0103,Hiroshi,Andersson,1988-08-16,H04,False
P0104,Cynthia,Robinson,1955-10-15,H09,False
P0105,Andrew,Hill,1991-10-20,H08,False
P0106,Nicole,Ramos,1971-08-13,H16,False
P0107,Laura,Garcia,1977-12-03,H13,False
P0108,Sharon,Roberts,1949-03-26,H02,False
P0109,Laura,Sanchez,1953-08-31,H09,False
P0110,Michael,Gonzalez,1962-07-15,H13,False
P0111,Pamela,Patel,1948-08-04,H04,False
P0112,Jeffrey,Chen,1958-12-16,H03,False
P0113,Cynthia,Nelson,1976-11-28,H03,False
P0114,Elena,Robinson,1967-03-27,H08,False
P0115,John,Gonzalez,1970-03-18,H01,False
P0116,Larry,Cox,1974-08-24,H20,False
P0117,Elizabeth,Hill,1995-03-24,H15,False
P0118,Shirley,Thomas,1989-01-22,H05,False
P0119,Amy,James,1975-01-02,H10,False
P0120,Cynthia,Anderson,1995-07-31,H01,False
P0121,Sanjay,Thomas,1983-11-06,H17,False
P0122,Barbara,Perez,1993-10-04,H01,False
P0123,Gary,Sanders,1981-09-19,H08,True
P0124,Elizabeth,Carter,1975-06-07,H07,False
P0125,Scott,Watson,1973-05-13,H09,False
P0126,Donna,Cooper,1971-06-03,H01,False
P0127,Jason,Murphy,1989-10-28,H18,False
P0128,Kevin,Ramos,1983-06-04,H03,False
P0129,Sandra,Mitchell,1957-01-07,H08,False
P0130,Nicholas,Hernandez,1967-11-18,H16,False
P0131,Laura,Jackson,1978-11-04,H12,False
P0132,James,Flores,1984-03-09,H14,False
P0133,Sanjay,Bailey,1993-05-21,H20,False
P0134,Anthony,Davis,1956-04-20,H04,True
P0135,Lisa,Jackson,1966-08-01,H20,False
P0136,Patricia,Sato,1993-09-17,H11,False
P0137,Lisa,Patel,1973-05-13,H08,False
P0138,Michelle,Brown,1991-08-24,H08,False
P0139,Edward,Smith,1988-09-27,H06,False
P0140,Elena,Sanchez,1996-01-13,H17,False
P0141,Joshua,Williams,1986-08-13,H03,False
P0142,Mateo,Gray,1960-05-13,H05,True
P0143,Shirley,Gray,1968-02-05,H06,False
P0144,Mateo,Richardson,1992-10-04,H04,False
P0145,Kathleen,Carter,1962-10-13,H11,False
P0146,Nicole,Williams,1996-08-10,H11,False
P0147,Yuki,Allen,1973-10-19,H16,False
P0148,Ronald,Nguyen,1954-10-08,H20,False
P0149,Jonathan,Moore,1950-06-24,H13,False
P0150,Cynthia,Sanders,1963-05-19,H15,False
P0151,Brandon,King,1966-01-05,H04,False
P0152,Brian,Anderson,1989-01-31,H13,False
P0153,Larry,Reyes,1950-07-19,H18,False
P0154,Shirley,Howard,1970-08-28,H13,False
P0155,Sofia,Campbell,1980-08-10,H07,False
P0156,Ingrid,Lopez,1981-09-26,H04,False
P0157,Edward,Patel,1981-07-27,H12,True
P0158,Ruth,Perez,1974-10-12,H12,False
P0159,Kenneth,Andersson,1960-10-05,H18,False
P0160,Elena,Garcia,1993-03-20,H06,False
P0161,Kwame,Howard,1950-06-11,H13,False
P0162,Arjun,Peterson,1981-02-21,H18,False
